,Mkt-RF,SMB,HML,RF,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
195803,3.27,0.63,-0.92,0.09,4.2,2.65,2.38,7.91,0.04,2.56,1.17,1.97,4.09,7.53,3.29,2.11
195804,3.09,-0.59,1.46,0.08,3.55,4.28,1.69,5.15,0.98,-0.49,2.7,5.1,2.99,7.52,2.12,5.82
195805,2.31,2.24,-0.35,0.11,2.72,4.68,4.19,0.37,1.39,2.02,2.11,1.41,3.62,1.07,2.17,4.55
195806,2.93,-0.24,0.5,0.03,2.65,2.64,2.19,4.95,3.1,3.19,1.66,2.19,2.14,3.23,2.94,2.86
195807,4.39,0.47,3.12,0.07,1.63,9.38,8.54,0.69,8.04,3.49,0.9,1.13,1.87,5.97,2.02,6.95
195808,1.91,1.19,0.29,0.04,2.93,-0.29,2.56,1.92,2.12,2.02,2.4,-1,5.71,1.98,4.6,2.32
195809,4.66,0.15,2.96,0.19,4.26,10.29,5.4,3.28,3.02,6.1,5.05,3.47,4.01,11.72,-0.36,7.17
195810,2.53,1.13,-1.18,0.18,2.51,1.84,3.78,1.33,1.51,4.71,1.45,4.28,1.22,1.05,3.68,3.62
195811,3.01,2.06,-1.29,0.11,4.09,2.03,2.96,1.92,3.42,3.8,2.13,2.95,5.9,8.03,2.33,5.8
195812,5.15,-2.07,-0.05,0.22,2.66,3.08,5.14,1.25,5.37,14.31,13.3,5.94,5.71,4.61,4.25,2.49
195901,0.71,3.02,2.98,0.21,3.81,-0.18,1.15,0.51,-0.13,-2.42,3.91,1.25,3.49,-0.62,-2.61,4.09
195902,0.95,1.49,1.05,0.19,3,-1.4,3.14,-7.39,5.11,4.79,4.84,1.26,2.66,3.86,2.36,1.39
195903,0.28,1.48,-0.35,0.22,0.3,-0.75,-1.14,2.14,1.81,2.56,-0.42,1.63,-1.66,4.26,-2.94,0.27
195904,3.66,-0.58,-1.22,0.2,3.01,9.77,3.74,1.72,6.38,7.3,4.63,-1.13,1.53,11.92,1.53,2.29
195905,1.73,-2.15,1.87,0.22,1.34,6.24,2.75,-0.95,5.58,6.22,-1.04,-1.1,2.71,-1.07,0.74,0.6
195906,-0.25,0.68,1.33,0.25,1.67,0.48,2.87,-2.72,-1.54,-1.67,-1.06,-2.23,2.26,6.59,2.59,0.91
195907,3.17,-0.32,0.26,0.25,3.7,8.09,2.81,4.96,6.14,-0.64,0.6,3.84,2,4.74,1.27,-0.26
195908,-1.39,-0.78,0.44,0.19,-0.39,3.23,-1.51,-3.13,-2.83,-2.41,0.61,1.33,0.78,-3.52,-1.37,-2.55
195909,-4.8,-0.09,0.57,0.31,-3.22,-4.29,-4.82,-6.9,-5.18,-4.16,-0.96,-4.33,-2.08,-4.96,-4.67,-3.83
195910,1.28,1.43,-2.05,0.3,3.79,-1.1,1.89,1.17,1.67,4.14,1.3,0.88,0.82,2.38,0.64,-0.01
195911,1.6,1.24,-3.27,0.26,1.24,0.12,2.81,-0.41,2.41,8.63,-1.23,0.4,2.43,5.62,1.37,-1.26
195912,2.45,-0.6,-0.03,0.34,1.23,5.9,1.6,4.23,3.19,3.81,4.31,2.13,2.63,-1.63,0.49,2.75
196001,-6.98,2.09,2.73,0.33,-3.35,-11.36,-8,-7.49,-9.58,-9.66,0.95,-2.07,-5.7,-6.35,-4.35,-4.45
196002,1.17,0.51,-1.99,0.29,2.93,-2.07,1.24,-3.43,0.52,4.43,8.36,2.77,4.06,0.27,-0.69,0.3
196003,-1.63,-0.51,-2.85,0.35,-1.41,-5.26,-3.56,-0.8,-2.15,1.03,0.14,1.77,0.16,1.61,0.4,-3.45
196004,-1.71,0.31,-2.23,0.19,1.54,-2.09,-2.55,-4.26,-4.78,0.56,-1.05,1.37,-0.21,1.68,-0.45,-1.4
196005,3.12,1.21,-3.76,0.27,6.52,-0.51,4.42,-3.46,4.18,9.14,3.32,1.52,3.29,13.77,-0.18,0.57
196006,2.08,-0.22,-0.34,0.24,4.32,0.69,1.92,3.52,1.49,1.06,-0.34,5.79,3.78,-0.16,3.96,2.35
196007,-2.37,-0.52,2.03,0.13,-0.95,-0.5,-3.19,0.7,-5.93,-4.49,0.1,-1.23,-3,-3.86,0.22,-2.39
196008,3.01,0.9,-0.19,0.17,4.52,3.2,1.87,4.1,1.75,0.68,7.11,4.46,3.14,2.46,3.64,2.7
196009,-5.99,-1.12,1.58,0.16,-3.41,-5.3,-7.41,-1,-6.89,-8.42,-5.91,-4.55,-8.4,-8.71,-5.62,-5.86
196010,-0.71,-3.97,2.6,0.22,1.65,-0.98,-1.93,2.43,-0.31,-2.33,0.14,-0.32,0.21,-3.49,-0.18,-1.2
196011,4.69,0.34,-2.45,0.13,8.68,-0.7,5.03,3.4,5.11,6.78,4.19,3.79,6.92,4.04,7.84,6.17
196012,4.71,-1.56,-0.79,0.16,4.47,-0.22,3.98,5.3,2.84,3.82,12.45,6.42,2.25,6.22,5.72,3.35
196101,6.2,0.65,3.7,0.19,5.44,8.57,6.29,9.76,6.38,3.11,7.89,4.86,2.89,6.05,7.31,8.1
196102,3.57,3.97,-0.74,0.14,6.65,4.43,5.71,0.73,2.73,3.14,0.75,3.68,4.95,5.19,7.14,4.87
196103,2.89,3.23,-0.77,0.2,4.82,3.91,1.46,1.42,1.9,3.01,7.43,1.75,5.8,3.8,4.54,2.85
196104,0.29,0.13,2.05,0.17,-1.36,-1.04,-1.31,4.76,-0.69,0.14,0.8,1.87,0.62,-0.3,1.55,-0.08
196105,2.4,1.95,0.48,0.18,3.67,1.65,3.9,0.15,4.74,3.81,-1.04,2.5,4.09,2.28,4.18,4.22
196106,-3.08,-2.48,-0.18,0.2,-1.42,-1.88,-4.33,-4.02,-0.23,-3.16,-3.99,-1.82,0.52,-3.38,-2.68,-4.55
196107,2.83,-1.88,-0.15,0.18,2.87,6.99,1.83,2.27,3.01,2.44,6.43,2.88,2.45,3.45,3.53,-0.08
196108,2.57,-1.81,-0.2,0.14,5.13,2.03,1.73,0.2,3.89,4.88,0.26,3.8,3.26,3.84,8.79,3.19
196109,-2.15,-1.13,-0.47,0.17,0.04,5.54,-4.61,-6.43,-4.02,0.82,-2.77,1.4,0.39,-1.31,-0.23,-2.83
196110,2.57,-1.96,0.59,0.19,3.35,0.35,0.3,6.62,-0.2,2.9,0.19,5.3,8.98,3.52,2.21,2.32
196111,4.45,1.03,-0.88,0.15,5.49,9.84,2.92,5.54,2.84,3.13,8.49,3.41,5.07,3.27,7.37,1.7
196112,-0.18,-1.12,2.21,0.19,-3.17,2.12,0.59,3.79,-0.55,-0.94,3.33,-4.21,-0.36,-2.02,-4.25,-0.18
196201,-3.87,1.86,4.98,0.24,-6.14,-0.96,-3.01,0.09,-5.32,-4.59,-6.08,-2.58,-8.64,-4.62,-4.75,0.81
196202,1.81,-1.18,0.89,0.2,0.26,-1.52,0.82,5.35,2.81,-0.4,4.09,2.62,1.62,3.76,3.79,0.39
196203,-0.68,0.23,-1,0.2,-1.09,-1.17,0.15,-1.66,-1.41,0.06,-2.94,1.98,0.85,0.54,-1.93,-1.8
196204,-6.59,-0.99,0.48,0.22,-6.74,-4.35,-8.35,-3.62,-6.13,-12.39,-4.71,-2.79,-4.47,-11.01,-7.47,-6.9
196205,-8.65,-3.02,2.32,0.24,-11.23,-5.1,-8.62,-4.98,-8.36,-10.74,-7.11,-10.46,-9.02,-10.9,-9.78,-6.71
196206,-8.47,-0.76,2.79,0.2,-8.78,-6.57,-9.75,-4.86,-9.22,-11.8,-8.52,-5.1,-10.29,-12.59,-10.81,-8.16
196207,6.28,1.61,-3.62,0.27,5.23,8.67,4.79,4.9,7.54,11.43,7.23,7.45,4.33,7.78,8.39,3.99
196208,2.13,1.25,-1.22,0.23,0.89,3.78,1.91,1.84,3.92,3.04,1.58,3.17,4.29,-7.92,3.8,3.86
196209,-5.22,-2.49,1.31,0.21,-5.62,-2.87,-7.14,-1.78,-3.12,-9.39,-6.05,-2.84,-6.51,-4.05,-5.65,-5.8
196210,-0.05,-4.01,1.35,0.25,-3.27,2.32,-0.2,-0.29,4.36,-0.01,2.77,-1.09,-1.24,2.47,-0.68,1.55
196211,10.87,2.58,1.05,0.2,12.08,7.15,13.84,10.71,11.99,14.81,7.16,7.6,11.16,17.59,14.14,15.38
196212,1.01,-3.8,0.34,0.23,1.45,2.9,-1.73,4.69,0.98,-0.7,1.08,3.44,0.06,0.89,1.61,1.18
196301,4.93,3.09,2.21,0.25,5.94,6.38,6.17,2.69,4.52,6.12,4.13,5.26,4.09,5.65,3.63,6.3
196302,-2.38,0.48,2.24,0.23,-3.03,-3.02,-1.76,-1.31,-3.75,-5.81,-1.09,-1.47,-0.64,-2.58,-0.35,-0.39
196303,3.08,-2.51,1.94,0.23,2.57,7.44,2.29,6.97,3.71,2.94,1.94,1.79,2.01,1.18,2.3,3.23
196304,4.51,-1.32,1.03,0.25,2.37,5.67,4.47,6.05,4.53,7.35,3.73,2.4,5.48,7.62,3.65,7.27
196305,1.76,1.07,2.58,0.24,1.9,7.86,2.89,-0.11,0.97,4.22,-0.64,1.03,2.58,-0.25,0.42,5.63
196306,-2,-0.26,0.72,0.23,-1.38,-2.79,-2.64,1.21,-2.83,-4.97,-1.94,-1.12,-1.36,-1.09,-0.99,-1.49
196307,-0.39,-0.55,-0.81,0.27,-0.47,-0.22,-1.53,2.29,-1.14,-0.67,-0.23,0.81,-1.03,0.56,-0.61,-2.37
196308,5.07,-0.95,1.65,0.25,4.87,6.55,6.79,3.93,4.98,5.12,4.29,4.22,6.4,9.56,4.28,6.32
196309,-1.57,-0.3,0.19,0.27,-1.68,-0.24,-0.8,-3.64,-0.84,0.36,2.36,-2.49,0.96,-4.06,-3.25,-3.12
196310,2.53,-0.54,-0.09,0.29,2.66,9.72,2.51,-0.32,2.78,8.35,3.4,-0.67,0.48,3.38,0.68,1.86
196311,-0.85,-1.13,1.71,0.27,-1.13,-4.84,-0.41,-1.15,1.82,-0.31,4.16,-1.02,-1.23,-1.65,-2.29,2.01
196312,1.83,-1.96,-0.1,0.29,2.83,0.27,0.94,4.65,4.03,2.99,-0.14,2.42,0.34,1.54,1.61,3.62
196401,2.24,-0.19,1.61,0.3,0.79,1.19,2.46,4.84,3.11,2.98,3.35,1.4,2.54,3.68,-1.14,2.83
196402,1.54,0.09,2.82,0.26,1.85,2.14,3.16,1.06,1.98,1.91,-0.28,0.85,1.61,1.66,3.76,6.57
196403,1.41,0.99,3.34,0.31,3.08,0.93,4.22,1.4,2.61,3.41,-0.94,-0.74,2.47,-1.94,0.7,3.09
196404,0.1,-1.36,-0.53,0.29,-0.45,1.93,-1.79,4.02,-1.48,-3.78,0.81,1.04,2.86,-1.42,-0.97,1.07
196405,1.42,-0.9,1.96,0.26,1.56,1.12,1.59,2.14,2.09,2.83,-0.4,0.83,3.88,0.53,0,3.89
196406,1.27,-0.26,0.68,0.3,1.61,0.67,1.44,0.65,-0.15,0.5,4.76,2.19,3.8,0.59,-1.18,2.87
196407,1.74,0.23,0.7,0.3,1.72,5.28,0.98,3.34,2.15,-1.93,-1.99,4.92,1.27,4.76,1.89,1.03
196408,-1.44,0.09,0.09,0.28,-0.26,1.33,-0.83,-1.86,-2.08,-2.83,-1.53,-0.02,0.34,-4.22,-2.14,-3.65
196409,2.69,-0.51,1.64,0.28,1.68,5.04,4.87,3.08,4.53,1.11,-1.02,1.85,3.47,2.73,2.5,5.01
196410,0.59,0.45,1.15,0.29,-0.16,0.25,-0.01,3.06,0.95,-1.02,-0.89,0.94,2.3,2.88,-0.64,3.26
196411,0,0.61,-1.99,0.29,0.7,-1.38,-1.47,2.55,1.47,-0.29,-2.23,1.36,3.25,2.17,-0.89,-2.26
196412,0.03,-0.25,-2.55,0.31,0.24,1.67,-1.55,-0.24,0.64,0,3.1,0.48,0.18,4.38,-1.2,-2.06
196501,3.54,2.68,0.19,0.28,6.06,3.76,5.7,0.51,5.12,7.59,0.27,3.94,3.07,7.66,2.72,5.89
196502,0.44,3.48,0.19,0.3,1.59,-0.69,3.31,-3.36,0.92,2.23,0.79,0.46,1.4,2.42,1.25,3.24
196503,-1.34,1.78,1.07,0.36,-0.8,1.39,-0.21,-3.03,-2.96,-0.61,-1.68,-0.51,-0.85,-0.92,-0.33,-0.24
196504,3.11,1.19,0.7,0.31,4.2,7.04,4.99,0.86,1.99,5.22,2.3,0.62,6.81,2.98,2.56,2
196505,-0.77,0.03,-1.61,0.31,-0.8,-3.53,-0.77,0.86,0.07,0.41,2.79,-0.94,0.21,-1.24,-2.35,-1.38
196506,-5.51,-4.35,0.58,0.35,-5.12,-6.83,-6.4,-1.98,-5.81,-5.71,-4.14,-3.66,-6.15,-5.31,-4.91,-8.06
196507,1.43,0.87,2.17,0.31,1.58,2.3,2.85,1.81,0.26,3.72,-0.38,1.06,-1.41,3.95,1.13,4.78
196508,2.73,2.84,-1.04,0.33,4.05,3.21,4.54,1.56,1.58,5.97,1.33,0.92,2.29,6.29,4.54,5.38
196509,2.86,0.63,-0.14,0.31,0.45,6.97,4.16,4.37,3.32,5.29,1.09,1.37,-0.66,2.24,-0.1,2.97
196510,2.6,2.48,1.5,0.31,2.61,6.34,5.22,1.84,2.78,5.11,-2.29,1.06,0.3,3.23,1.15,5.98
196511,-0.03,4.69,0.2,0.35,1.1,-4.03,2.58,0.71,-1.5,2.81,-4.32,-1.01,1.39,3.8,1.04,5.33
196512,1.01,2.09,1.99,0.33,1.29,1.23,3.67,0.17,2.25,-1.68,-0.86,-0.32,1.32,3.83,1.96,4.24
196601,0.72,3.86,3.54,0.38,1.89,0.49,4.09,1.04,-0.12,1.29,-1.3,-3.06,-4.34,2.74,0.56,7.55
196602,-1.21,4.46,0.39,0.35,-0.48,-1.5,-0.28,-3.47,-1.96,5.21,0.48,-4.17,-1.87,-1.55,-2.09,3.96
196603,-2.51,0.94,-2.03,0.38,-2.63,-3.06,-1.2,-2.23,-3.47,-0.78,-4.84,-0.12,-2.15,-1.6,-4.07,-2.33
196604,2.14,3.43,-0.5,0.34,0.42,0.11,3.84,3.13,0.07,7.62,1.26,1.19,3.07,-0.02,1.3,3.77
196605,-5.66,-4.67,-1.61,0.41,-4.92,-8.11,-6.27,-3.74,-3.84,-6,-2.98,-2.73,-2.86,-5.26,-3.9,-9.48
196606,-1.44,1.05,0.51,0.38,-1.76,-2.11,-0.2,-2.28,-3.2,-0.03,0.49,-1.78,-2.37,0.99,-2.09,1.96
196607,-1.63,-0.38,0.93,0.35,-1.16,-2.44,-1.84,0.4,-0.54,-1.79,-1.17,-0.18,-1.97,-1.72,-2.05,-2.03
196608,-7.91,-3.33,0.59,0.41,-7.21,-7.47,-8.12,-6.36,-7.37,-5.92,-4.6,-8.61,-6.37,-8.07,-8.78,-12.94
196609,-1.06,-1.1,0.54,0.4,-1.48,-1.04,-2.86,3.94,-5.57,-1.94,-0.57,4.37,-1.94,-1.13,-0.07,-2.62
196610,3.86,-6.63,2.9,0.45,4.5,0.57,2.59,8.47,2.25,0.28,9.19,9.95,-1.43,4.87,10.32,-0.08
196611,1.4,4.37,-4.64,0.4,2.33,-3.51,3.6,-1.14,0.02,11.11,-2.84,-1.36,0.71,6.89,3.03,10.32
196612,0.13,1.89,-1.34,0.4,0.22,-2.61,1.56,-0.66,0.91,0.32,2.98,2.11,-4.05,-0.17,3.45,1.45
196701,8.15,8.47,1.9,0.43,9.42,12.19,11.49,3.59,10.37,10.13,6.23,2.81,11.84,6.41,9.02,13.37
196702,0.78,3.36,-2.23,0.36,2,-1.01,1.51,-0.07,0.2,6.27,2.15,-1.72,3.21,1.42,0.18,-0.44
196703,3.99,1.74,0.18,0.39,4.45,4.27,5.97,3.61,5.26,5.32,2.94,1.54,2.38,7.83,1.29,5.48
196704,3.89,0.6,-2.61,0.32,4.59,10.83,3.27,1.67,5.27,7.65,0.19,1.87,9.16,4.46,0.47,3
196705,-4.33,2,0.83,0.33,-2.63,-7.28,-3.33,-2.42,-4.62,-4.41,-5.67,-4.12,-4.68,-5.29,-2.38,-1.67
196706,2.41,6.01,0.88,0.27,2.65,1.52,2.63,2.28,0.6,6.29,2.72,-1.32,3.83,5.38,3.76,3.77
196707,4.58,3.08,2.65,0.31,6.03,10.71,4.98,6.92,5.28,3.98,-6.62,2.29,5.97,3.79,6.96,8.25
196708,-0.89,0.47,1.46,0.31,-0.84,0.08,-0.63,-1.46,-0.07,-0.99,-1.25,-0.71,0.46,0.66,2.11,-1.23
196709,3.11,3.1,-2.47,0.32,3.13,4.98,2.66,4.21,4.46,8.38,1.2,-0.12,2.27,2.89,3.18,0.61
196710,-3.09,1.42,-3.39,0.39,-2.66,-4.88,-4.46,-0.99,-4.62,5.08,-3.49,-5.42,0.67,-5.01,-4,-5.65
196711,0.37,0.2,-1.71,0.36,0.56,-0.69,1.44,0.78,-1.64,1.37,0.09,3.18,0.87,1.33,-1.37,0.01
196712,3.05,5.73,-0.39,0.33,3.2,0.88,4.7,3.09,6.81,2.16,0.13,3.24,3.46,1.62,7.32,4.82
196801,-4.06,3.91,4.75,0.4,-0.58,-5.16,-6.24,-0.89,-6.98,-8.81,2.69,0.2,1.11,-6.57,2.89,-3.78
196802,-3.75,-2.95,1.17,0.39,-2.67,-2.31,-4.62,-2.65,-3.33,-4.5,-2.4,-1.48,-0.8,-4.24,-2.85,-3.87
196803,0.2,-1.28,-0.59,0.38,0.74,0.52,0.8,0.76,0.64,4.26,-1.12,-3.93,2.84,0.1,0.85,-0.51
196804,9.05,5.73,-1.03,0.43,11.09,12.01,11.39,5.68,8.49,12.34,2.22,2.49,12.38,11.9,11.37,12.43
196805,2.28,6.43,0.84,0.45,5.02,-0.37,4.28,1.26,-0.41,3.87,-0.74,0.45,3.54,3.34,6.61,6.09
196806,0.69,-0.17,0.67,0.43,1.19,-1.65,-0.6,1.81,0.72,-2.01,4.15,8.44,0.35,2.25,7.76,0.78
196807,-2.72,-1.3,5.48,0.48,-3.9,-2.85,-4.9,5.28,-2.31,-5.57,-0.19,0.17,-5.07,-4.1,0.79,-4.56
196808,1.34,2.34,1,0.42,2.81,1.16,3.76,1.28,1.77,0.46,1.26,-0.87,2.25,0.68,5.61,1.38
196809,4.03,2.76,0.24,0.43,4.86,6.87,4.33,3.53,5.09,2.94,2.95,0.27,7.88,0.85,9.11,9.2
196810,0.42,-0.47,2.89,0.44,0.87,4.7,0.51,2.55,2.36,-5.07,3.17,0.49,0.74,-0.05,3.09,0.09
196811,5.43,2.36,-0.9,0.42,4.66,-0.42,5.93,5.56,5.37,8.68,5.39,8.79,5.09,8.1,6.53,8.2
196812,-3.94,3.44,0.02,0.43,-1.04,-4.42,-3.27,-2.56,-4.21,-5.46,-6.64,-2.88,-4.1,-1.03,-6.11,-2.52
196901,-1.25,-0.78,1.69,0.53,-1.2,-1.87,-0.13,-1.12,-1.07,-4.74,1.2,2.41,-1.04,-0.23,-0.04,1.33
196902,-5.84,-3.89,0.9,0.46,-6.59,-3.37,-6.19,-4.6,-4.69,-3.55,-3.32,-5.2,-4.09,-5.14,-8.66,-8.2
196903,2.64,-0.25,-0.46,0.46,0.76,5,2.96,7.09,1.17,5.48,-0.42,-1.29,5.14,3.34,3.49,-0.57
196904,1.46,-0.88,0.03,0.53,1.03,1.3,1.49,-0.35,0.61,4.01,7.73,1.34,3.71,4.98,2.97,1.23
196905,-0.1,-0.27,0.73,0.48,1.19,-0.02,-1.38,3.69,0.94,-1.78,1.06,0.02,0.57,1.66,-1.18,-1.08
196906,-7.18,-5.39,-1.09,0.51,-7.33,-5.97,-6.96,-9.92,-6.35,-0.01,-3.98,-5.74,-5.4,-5.03,-10.22,-10.9
196907,-7,-3.21,1.42,0.53,-6.93,-7,-6.36,-9.63,-3.14,-5.38,-4.49,-2.98,-8.53,-2.73,-8.7,-9.47
196908,4.68,0.94,-3.87,0.5,5,3.01,4.06,6.58,4.38,7.02,1.66,-1.29,8.17,9.2,10.55,7.76
196909,-2.98,1.2,-3.19,0.62,0.26,-0.39,-1.48,-9.63,-4.07,0.25,-4,-4.14,-0.62,2.17,-0.74,-0.75
196910,5.06,3.81,-3.19,0.6,8.35,3.87,6.63,-1.06,6.47,5.8,3.5,8.28,6.7,8.97,9.05,6.98
196911,-3.79,-2.53,-1.12,0.52,-2.4,-4.43,-3.53,-4.51,-3.56,-1.83,1.18,-5.26,-4.25,0.34,-6.82,-4.43
196912,-2.63,-3.67,-3.02,0.64,-1.96,-3.43,-1.19,-3.01,-1.52,-0.76,-5.51,-0.65,-3.03,4.3,-2.29,-4.99
197001,-8.1,2.9,3.04,0.6,-4.3,-8.24,-7.7,-11.44,-5.48,-9.17,-2.56,-4.23,-5.91,-7.11,-9.18,-8.5
197002,5.13,-2.4,4.04,0.62,4.72,5.86,5.26,5.38,3.38,2.95,7.95,8.36,5.29,5.57,11.15,7.88
197003,-1.06,-2.32,4.25,0.57,-0.86,4.98,-0.55,-0.43,-0.38,-2.6,2.29,2.91,-1.7,-5.1,-0.78,-2.93
197004,-11,-6.11,6.39,0.5,-10.2,-8.77,-9.9,-9.15,-6.25,-14.45,-8.79,-8.06,-11.25,-10.12,-12.8,-14.53
197005,-6.92,-4.5,3.6,0.53,-7.51,-6.23,-9.36,2.63,-2.99,-9.48,-3.74,-5.36,-9.63,-7.74,-8.35,-8.23
197006,-5.79,-2.16,0.87,0.58,-1.57,-3.8,-5.51,-2.46,-2.45,-11.89,-8.48,-4.7,-4.01,-0.48,-4.62,-8.9
197007,6.93,-0.53,0.96,0.52,6.69,10.32,4.28,12.77,6.76,2.42,10.27,8.71,10.59,2.14,8.77,7.25
197008,4.49,1.53,1.03,0.53,1.5,8.29,4.76,6.53,3.93,8.05,2.5,4.67,5.22,1.8,5.02,5.05
197009,4.18,8.65,-5.58,0.54,5.63,2.81,4.95,3.27,1.6,10.21,-0.93,-0.54,7.96,8.01,5.27,10
197010,-2.28,-4.23,0.27,0.46,0.65,-2.06,-3.66,2.97,-1.66,-3.54,-3.75,-0.8,-1.63,0.31,-7.29,-4.53
197011,4.59,-4.06,1.63,0.46,4.8,6.84,3.56,4.89,4.89,4.12,6.11,9.39,6.84,2.97,5.91,1.69
197012,5.72,2.94,1.01,0.42,7.45,6.27,8.03,2.28,8.07,4.36,6.85,7.13,5.35,5.34,9.58,7.18
197101,4.84,7.43,1.38,0.38,4.92,3.76,6.3,0.39,5.25,5.42,9.75,2.95,8.26,4.92,5.25,10.36
197102,1.41,1.91,-1.29,0.33,3.79,2.24,1.07,4.73,1.61,2.82,-5.3,-2.58,3.68,1.31,1.85,2.59
197103,4.13,2.56,-4.04,0.3,4.47,3.48,4.45,2.71,3.78,8.05,0.73,2.39,6.75,3.68,7.17,4.76
197104,3.15,-0.49,0.72,0.28,2.21,8.56,4.44,4.34,4.34,2.39,0.82,-3.54,4.99,4.23,2.29,6.34
197105,-3.98,-1.09,-1.38,0.29,-3.05,-4.35,-2.68,-4.68,-0.95,-6.15,-5.21,-3.69,-1.9,-2.13,-5.4,-3.71
197106,-0.1,-1.45,-2.06,0.37,-0.12,-0.52,-0.28,1.04,2.31,-2.14,1.05,4.29,0.44,2.05,-0.02,-2.58
197107,-4.5,-1.5,0.17,0.4,-2.13,-5.28,-5.22,-2.15,-4.39,-8.72,-3.69,-2.15,-3.56,-2.17,-1.9,-5.94
197108,3.79,-0.16,2.67,0.47,3.13,10.53,6.62,-1.16,6.22,5.66,-0.24,-2.33,6.21,3.15,6.71,7.29
197109,-0.85,0.41,-2.96,0.37,-0.05,-0.05,-0.56,-1.67,0.61,-1.57,0.27,-1.49,0.68,0.66,-0.29,-0.55
197110,-4.42,-1.8,-0.43,0.37,-4.33,-5.06,-6.53,-4.3,-4.71,-4.34,-1.83,2.04,-3.39,-2.47,-2.3,-6.3
197111,-0.46,-2.85,-1.7,0.37,-0.38,0.17,-0.95,0.02,-0.91,1.84,0.43,-1.22,0.25,0.69,1.13,-1.87
197112,8.71,3.32,-0.35,0.37,10.52,6.21,11.14,8.83,7.3,11.21,7.55,8.12,10.29,7.79,5.93,10.89
197201,2.49,6.12,1.99,0.29,2.51,3.38,3.24,0.16,3.71,8.48,1.01,-0.32,0.26,2.63,0.84,6.16
197202,2.87,1.37,-2.76,0.25,4.64,0.57,4.95,2.61,4.84,1.71,0.24,-2.5,5.59,7.12,0.04,4.57
197203,0.63,-0.27,-1.73,0.27,0.09,4.29,2.7,-5.45,2.12,1.03,-0.33,-0.14,2.03,0.46,5.13,-0.57
197204,0.29,0.01,0.23,0.29,1.9,-0.59,1.81,-0.66,1.98,0.74,-1.06,-2.8,-0.6,1.1,2.56,0.96
197205,1.25,-2.79,-2.69,0.3,0.4,-1.2,1.89,3.62,2.66,3.73,1.24,-0.17,1.47,3.71,-1.87,0.69
197206,-2.43,0.33,-2.51,0.29,-1.11,-2.92,-1.75,-0.98,-3.43,-2.57,-2.64,-1.56,-3.95,2.54,-3.82,-5.23
197207,-0.8,-2.89,0.78,0.31,-1.61,-2,0.2,-1.09,1.09,0.97,0.74,0.05,-2.47,3.1,-1.01,-5.16
197208,3.26,-4.09,4.69,0.29,-0.1,3.75,1.13,12.41,4.98,2.91,5.18,5.95,-0.4,1.05,6.02,0.64
197209,-1.14,-2.67,0.47,0.34,-2.6,-0.92,-0.79,-0.21,-2.19,-1.14,4.27,0.18,-0.56,-0.43,-0.19,-3.68
197210,0.52,-2.74,1.37,0.4,0.02,-2.35,0.58,3.12,2.22,-3.3,2.27,6.77,0.9,1.5,1.63,0.46
197211,4.6,-1.11,4.76,0.37,6.87,8.1,4.33,6.19,3.93,2.51,7.04,6.39,5.96,-0.53,4.74,5.61
197212,0.62,-1.86,-2.27,0.37,0.53,1.74,0.14,1.05,2.53,2.02,1.45,-1.54,1.84,3.73,-0.8,-0.71
197301,-3.29,-3.48,2.68,0.44,-4.71,-6.69,-4.08,5.02,-2.63,2.07,-2.12,-4.28,-4.28,-1.18,-7.48,-7.45
197302,-4.85,-3.99,1.7,0.41,-4.36,-6.03,-2.62,-7.36,-1.1,-3.02,-4.64,-1.98,-6.44,-0.71,-6.14,-6.01
197303,-1.29,-2.82,2.78,0.46,-1.04,-2.85,-0.6,3.12,-0.07,-1.19,0.53,-2.16,-5.71,0.78,-0.42,-0.12
197304,-5.68,-3.99,5.69,0.52,-6.29,-5.1,-5.2,-1.03,-3.33,-6.53,0.86,-0.58,-8.38,-5.48,-8,-7.51
197305,-2.94,-6.12,0.21,0.51,-2.12,-4.3,-0.96,-3.45,-1.82,-2.65,-0.84,0.36,-2.17,1.07,-3.25,-7.3
197306,-1.56,-2.95,1.44,0.51,-3.48,-2.61,-0.29,1.61,-0.7,-0.13,-0.32,-2.47,-5.74,0.02,2.55,-4.05
197307,5.04,7.87,-5.22,0.64,7.53,7.2,6.62,0.34,6.5,4.88,-0.31,-2.39,11.02,6.87,9.08,10.15
197308,-3.84,-2.05,1.21,0.7,-3.32,-3.92,-0.58,-3.74,-4.04,-3.75,-3.93,-2.09,-4.23,-6.91,-2.23,-2.26
197309,4.75,2.91,2.14,0.68,5.87,7.85,4.44,9.27,5.2,-3.17,7.67,7.9,7.44,0.79,7.33,7.04
197310,-0.86,-0.16,1.73,0.65,-2.34,-4.5,0.09,5.22,0.43,4.14,-5.54,-3.38,-3.51,1.83,-1.75,-0.37
197311,-12.74,-7.69,3.99,0.56,-14.31,-16.19,-14.26,-6.17,-15.03,-11.42,-1.94,-11.61,-18.72,-7.77,-12.27,-14.62
197312,0.58,-5.32,4.21,0.64,-1.62,-3.77,1.36,8.6,0.24,-4.49,4.54,3.41,-0.4,-4.48,2.17,2.7
197401,-0.17,9.87,5.87,0.63,2.38,6.28,0.42,-7.52,0.55,1.1,2.01,4.55,6.81,-2.52,0.31,1.97
